2015-11-25
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK001988 民生银行 6.282 8.229 0.763 0.172 2.6666 
HK003618 重庆农商 3.965 5.032 0.788 0.184 2.6919 
HK000939 建设银行 4.459 5.607 0.795 0.180 2.8060 
HK003988 中国银行 2.903 4.022 0.722 0.136 2.8740 
HK001288 农业银行 2.635 3.425 0.769 0.158 2.9446 
HK001398 工商银行 3.940 4.773 0.825 0.180 3.0334 
HK003968 招商银行 15.074 14.375 1.049 0.223 3.6846 
SH601398 工商银行 4.620 4.773 0.968 0.180 3.9969 
SH600000 浦发银行 18.810 15.163 1.241 0.249 4.0829 
SH601166 兴业银行 16.390 14.958 1.096 0.206 4.1854 
SH601169 北京银行 10.230 8.880 1.152 0.219 4.2189 
SH601818 光大银行 4.300 4.310 0.998 0.169 4.4126 
SH601939 建设银行 5.820 5.607 1.038 0.180 4.4176 
SH600036 招商银行 17.520 14.375 1.219 0.223 4.4328 
SH601288 农业银行 3.280 3.425 0.958 0.158 4.4405 
SH601009 南京银行 17.900 13.708 1.306 0.237 4.5057 
SH600016 民生银行 9.070 8.229 1.102 0.172 4.9808 
SZ002142 宁波银行 15.500 10.305 1.504 0.240 5.1150 
SH601998 中信银行 7.450 6.494 1.147 0.175 5.1438 
SH601328 交通银行 6.610 6.935 0.953 0.132 5.2135 
SH600015 华夏银行 11.480 10.735 1.069 0.157 5.2210 
SZ000001 平安银行 12.230 11.304 1.082 0.150 5.5264 
SH601988 中国银行 4.080 4.022 1.014 0.136 5.5402


2015-12-21
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.216 6.502 0.648 0.175 1.6099 
HK006818 光大银行 3.053 4.314 0.708 0.169 2.2191 
HK003328 交通银行 4.584 6.941 0.660 0.132 2.2490 
HK003618 重庆农商 4.024 5.038 0.799 0.184 2.7717 
HK001988 民生银行 6.449 8.237 0.783 0.172 2.8261 
HK000939 建设银行 4.484 5.613 0.799 0.180 2.8336 
HK003988 中国银行 2.903 4.026 0.721 0.136 2.8663 
HK001398 工商银行 3.973 4.779 0.831 0.180 3.0768 
HK001288 农业银行 2.752 3.427 0.803 0.158 3.2365 
HK003968 招商银行 15.141 14.395 1.052 0.223 3.6996 
SH601398 工商银行 4.690 4.779 0.981 0.180 4.0802 
SH600000 浦发银行 19.140 15.191 1.260 0.249 4.1528 
SH601166 兴业银行 16.860 14.976 1.126 0.206 4.3297 
SH601169 北京银行 10.480 8.894 1.178 0.219 4.3330 
SH601288 农业银行 3.310 3.427 0.966 0.158 4.4976 
SH601939 建设银行 5.920 5.613 1.055 0.180 4.5144 
SH601818 光大银行 4.400 4.314 1.020 0.169 4.5533 
SH600036 招商银行 18.230 14.395 1.266 0.223 4.6234 
SH601009 南京银行 18.430 13.729 1.342 0.237 4.6355 
SH601998 中信银行 7.600 6.502 1.169 0.175 5.2598 
SH601328 交通银行 6.690 6.941 0.964 0.132 5.3042 
SZ002142 宁波银行 16.180 10.323 1.567 0.240 5.3065 
SH600015 华夏银行 11.980 10.745 1.115 0.157 5.5079 
SH600016 民生银行 9.970 8.237 1.210 0.172 5.5708 
SH601988 中国银行 4.120 4.026 1.023 0.136 5.6090 
SZ000001 平安银行 12.510 11.316 1.105 0.150 5.6807

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.181 6.505 0.643 0.175 1.5551 
HK006818 光大银行 3.077 4.316 0.713 0.169 2.2663 
HK003328 交通银行 4.615 6.943 0.665 0.132 2.3018 
HK003618 重庆农商 4.038 5.040 0.801 0.184 2.7912 
HK000939 建设银行 4.473 5.615 0.797 0.180 2.8174 
HK001988 民生银行 6.471 8.240 0.785 0.172 2.8455 
HK003988 中国银行 2.901 4.027 0.720 0.136 2.8601 
HK001398 工商银行 3.963 4.781 0.829 0.180 3.0585 
HK001288 农业银行 2.767 3.428 0.807 0.158 3.2729 
HK003968 招商银行 15.117 14.402 1.050 0.223 3.6894 
SH601398 工商银行 4.670 4.781 0.977 0.180 4.0517 
SH600000 浦发银行 18.900 15.200 1.243 0.249 4.0933 
SH601169 北京银行 10.390 8.899 1.168 0.219 4.2867 
SH601166 兴业银行 17.180 14.982 1.147 0.206 4.4278 
SH601939 建设银行 5.880 5.615 1.047 0.180 4.4713 
SH601818 光大银行 4.350 4.316 1.008 0.169 4.4783 
SH601288 农业银行 3.310 3.428 0.966 0.158 4.4959 
SH600036 招商银行 18.270 14.402 1.269 0.223 4.6319 
SH601009 南京银行 18.570 13.736 1.352 0.237 4.6687 
SH601998 中信银行 7.500 6.505 1.153 0.175 5.1753 
SH601328 交通银行 6.630 6.943 0.955 0.132 5.2292 
SZ002142 宁波银行 16.050 10.329 1.554 0.240 5.2664 
SH600016 民生银行 9.580 8.240 1.163 0.172 5.3173 
SH600015 华夏银行 11.850 10.748 1.103 0.157 5.4311 
SH601988 中国银行 4.090 4.027 1.016 0.136 5.5492 
SZ000001 平安银行 12.430 11.320 1.098 0.150 5.6322

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.238 6.507 0.651 0.175 1.6365 
HK006818 光大银行 3.126 4.317 0.724 0.169 2.3653 
HK003328 交通银行 4.664 6.945 0.672 0.132 2.3840 
HK000939 建设银行 4.513 5.617 0.804 0.180 2.8694 
HK003618 重庆农商 4.104 5.042 0.814 0.184 2.8840 
HK001988 民生银行 6.553 8.242 0.795 0.172 2.9221 
HK003988 中国银行 2.934 4.028 0.728 0.136 2.9445 
HK001398 工商银行 4.003 4.784 0.837 0.180 3.1173 
HK001288 农业银行 2.766 3.429 0.807 0.158 3.2688 
HK003968 招商银行 15.395 14.409 1.068 0.223 3.7779 
SH601398 工商银行 4.670 4.784 0.976 0.180 4.0492 
SH600000 浦发银行 18.880 15.210 1.241 0.249 4.0858 
SH601169 北京银行 10.490 8.903 1.178 0.219 4.3325 
SH601166 兴业银行 17.230 14.988 1.150 0.206 4.4411 
SH601288 农业银行 3.300 3.429 0.962 0.158 4.4735 
SH601939 建设银行 5.900 5.617 1.050 0.180 4.4897 
SH601818 光大银行 4.370 4.317 1.012 0.169 4.5055 
SH600036 招商银行 18.190 14.409 1.262 0.223 4.6077 
SH601009 南京银行 18.650 13.743 1.357 0.237 4.6865 
SH601328 交通银行 6.650 6.945 0.958 0.132 5.2513 
SH600016 民生银行 9.520 8.242 1.155 0.172 5.2756 
SZ002142 宁波银行 16.250 10.335 1.572 0.240 5.3213 
SH601998 中信银行 7.710 6.507 1.185 0.175 5.3439 
SH600015 华夏银行 11.980 10.751 1.114 0.157 5.5041 
SH601988 中国银行 4.080 4.028 1.013 0.136 5.5275 
SZ000001 平安银行 12.480 11.324 1.102 0.150 5.6584 

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.246 6.510 0.652 0.175 1.6470 
HK006818 光大银行 3.135 4.319 0.726 0.169 2.3810 
HK003328 交通银行 4.689 6.947 0.675 0.132 2.4261 
HK003618 重庆农商 4.071 5.044 0.807 0.184 2.8339 
HK000939 建设银行 4.539 5.619 0.808 0.180 2.9015 
HK003988 中国银行 2.926 4.030 0.726 0.136 2.9205 
HK001988 民生银行 6.553 8.245 0.795 0.172 2.9208 
HK001398 工商银行 4.012 4.786 0.838 0.180 3.1280 
HK001288 农业银行 2.792 3.430 0.814 0.158 3.3295 
HK003968 招商银行 15.481 14.416 1.074 0.223 3.8031 
SH601398 工商银行 4.650 4.786 0.972 0.180 4.0206 
SH600000 浦发银行 19.040 15.219 1.251 0.249 4.1210 
SH601288 农业银行 3.280 3.430 0.956 0.158 4.4302 
SH601818 光大银行 4.330 4.319 1.003 0.169 4.4447 
SH601166 兴业银行 17.270 14.995 1.152 0.206 4.4513 
SH601939 建设银行 5.900 5.619 1.050 0.180 4.4876 
SH601169 北京银行 10.990 8.908 1.234 0.219 4.5652 
SH600036 招商银行 18.140 14.416 1.258 0.223 4.5917 
SH601009 南京银行 18.980 13.750 1.380 0.237 4.7664 
SH600016 民生银行 9.390 8.245 1.139 0.172 5.1870 
SH601998 中信银行 7.650 6.510 1.175 0.175 5.2930 
SH601328 交通银行 6.700 6.947 0.965 0.132 5.3097 
SZ002142 宁波银行 16.550 10.340 1.601 0.240 5.4036 
SH601988 中国银行 4.060 4.030 1.007 0.136 5.4865 
SH600015 华夏银行 11.980 10.754 1.114 0.157 5.5021 
SZ000001 平安银行 12.340 11.328 1.089 0.150 5.5750

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.246 6.512 0.652 0.175 1.6445 
HK006818 光大银行 3.135 4.320 0.726 0.169 2.3790 
HK003328 交通银行 4.689 6.948 0.675 0.132 2.4239 
HK003618 重庆农商 4.071 5.046 0.807 0.184 2.8316 
HK000939 建设银行 4.539 5.621 0.808 0.180 2.8994 
HK003988 中国银行 2.926 4.031 0.726 0.136 2.9180 
HK001988 民生银行 6.553 8.248 0.795 0.172 2.9187 
HK001398 工商银行 4.012 4.788 0.838 0.180 3.1255 
HK001288 农业银行 2.792 3.431 0.814 0.158 3.3278 
HK003968 招商银行 15.481 14.422 1.073 0.223 3.8007 
SH601398 工商银行 4.650 4.788 0.971 0.180 4.0180 
SH600000 浦发银行 19.320 15.228 1.269 0.249 4.1838 
SH601288 农业银行 3.270 3.431 0.953 0.158 4.4077 
SH601818 光大银行 4.340 4.320 1.005 0.169 4.4574 
SH601939 建设银行 5.900 5.621 1.050 0.180 4.4855 
SH601166 兴业银行 17.440 15.001 1.163 0.206 4.5014 
SH601169 北京银行 10.980 8.913 1.232 0.219 4.5579 
SH600036 招商银行 18.330 14.422 1.271 0.223 4.6412 
SH601009 南京银行 18.970 13.757 1.379 0.237 4.7616 
SH600016 民生银行 9.440 8.248 1.145 0.172 5.2184 
SH601328 交通银行 6.650 6.948 0.957 0.132 5.2469 
SH601998 中信银行 7.640 6.512 1.173 0.175 5.2824 
SZ002142 宁波银行 16.560 10.346 1.601 0.240 5.4038 
SH601988 中国银行 4.060 4.031 1.007 0.136 5.4839 
SH600015 华夏银行 11.970 10.757 1.113 0.157 5.4945 
SZ000001 平安银行 12.410 11.332 1.095 0.150 5.6129

2015-12-28
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.218 6.520 0.647 0.175 1.5962 
HK003328 交通银行 4.620 6.954 0.664 0.132 2.2973 
HK006818 光大银行 3.105 4.324 0.718 0.169 2.3128 
HK003618 重庆农商 3.967 5.052 0.785 0.184 2.6724 
HK000939 建设银行 4.503 5.626 0.800 0.180 2.8451 
HK001988 民生银行 6.503 8.256 0.788 0.172 2.8643 
HK003988 中国银行 2.921 4.035 0.724 0.136 2.8983 
HK001398 工商银行 3.976 4.794 0.829 0.180 3.0623 
HK001288 农业银行 2.729 3.433 0.795 0.158 3.1660 
HK003968 招商银行 15.284 14.443 1.058 0.223 3.7299 
SH601398 工商银行 4.590 4.794 0.957 0.180 3.9317 
SH600000 浦发银行 18.700 15.256 1.226 0.249 4.0291 
SH601288 农业银行 3.200 3.433 0.932 0.158 4.2547 
SH601818 光大银行 4.220 4.324 0.976 0.169 4.2722 
SH601169 北京银行 10.450 8.927 1.171 0.219 4.2999 
SH601166 兴业银行 16.960 15.019 1.129 0.206 4.3459 
SH601939 建设银行 5.780 5.626 1.027 0.180 4.3550 
SH600036 招商银行 17.840 14.443 1.235 0.223 4.4993 
SH601009 南京银行 18.020 13.778 1.308 0.237 4.5133 
SH601998 中信银行 7.260 6.520 1.113 0.175 4.9589 
SH600016 民生银行 9.140 8.256 1.107 0.172 5.0087 
SH601328 交通银行 6.470 6.954 0.930 0.132 5.0186 
SZ002142 宁波银行 15.740 10.364 1.519 0.240 5.1601 
SH600015 华夏银行 11.440 10.766 1.063 0.157 5.1777 
SZ000001 平安银行 11.980 11.345 1.056 0.150 5.3527 
SH601988 中国银行 4.020 4.035 0.996 0.136 5.3988

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.202 6.523 0.644 0.175 1.5691 
HK003328 交通银行 4.595 6.956 0.661 0.132 2.2510 
HK006818 光大银行 3.181 4.325 0.735 0.169 2.4638 
HK003618 重庆农商 4.001 5.054 0.792 0.184 2.7198 
HK000939 建设银行 4.486 5.628 0.797 0.180 2.8205 
HK001988 民生银行 6.462 8.258 0.782 0.172 2.8216 
HK003988 中国银行 2.938 4.036 0.728 0.136 2.9405 
HK001398 工商银行 3.959 4.796 0.826 0.180 3.0342 
HK001288 农业银行 2.720 3.434 0.792 0.158 3.1433 
HK003968 招商银行 15.418 14.450 1.067 0.223 3.7710 
SH601398 工商银行 4.610 4.796 0.961 0.180 3.9554 
SH600000 浦发银行 18.740 15.265 1.228 0.249 4.0359 
SH601818 光大银行 4.260 4.325 0.985 0.169 4.3304 
SH601288 农业银行 3.240 3.434 0.943 0.158 4.3378 
SH601939 建设银行 5.800 5.628 1.030 0.180 4.3738 
SH601169 北京银行 10.690 8.931 1.197 0.219 4.4121 
SH601166 兴业银行 17.290 15.025 1.151 0.206 4.4466 
SH600036 招商银行 17.940 14.450 1.242 0.223 4.5248 
SH601009 南京银行 18.150 13.785 1.317 0.237 4.5447 
SH601998 中信银行 7.310 6.523 1.121 0.175 4.9990 
SH601328 交通银行 6.490 6.956 0.933 0.132 5.0413 
SH600016 民生银行 9.210 8.258 1.115 0.172 5.0548 
SZ002142 宁波银行 15.940 10.370 1.537 0.240 5.2161 
SH600015 华夏银行 11.800 10.769 1.096 0.157 5.3885 
SZ000001 平安银行 12.090 11.349 1.065 0.150 5.4156 
SH601988 中国银行 4.040 4.036 1.001 0.136 5.4352

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.179 6.526 0.640 0.175 1.5332 
HK003328 交通银行 4.548 6.958 0.654 0.132 2.1649 
HK006818 光大银行 3.157 4.327 0.730 0.169 2.4150 
HK003618 重庆农商 3.911 5.056 0.774 0.184 2.5832 
HK000939 建设银行 4.439 5.630 0.788 0.180 2.7539 
HK001988 民生银行 6.399 8.261 0.775 0.172 2.7577 
HK003988 中国银行 2.898 4.038 0.718 0.136 2.8303 
HK001398 工商银行 3.920 4.798 0.817 0.180 2.9709 
HK001288 农业银行 2.672 3.435 0.778 0.158 3.0184 
HK003968 招商银行 15.276 14.457 1.057 0.223 3.7227 
SH601398 工商银行 4.610 4.798 0.961 0.180 3.9528 
SH600000 浦发银行 18.570 15.275 1.216 0.249 3.9922 
SH601288 农业银行 3.230 3.435 0.940 0.158 4.3150 
SH601818 光大银行 4.260 4.327 0.985 0.169 4.3284 
SH601939 建设银行 5.790 5.630 1.028 0.180 4.3612 
SH601169 北京银行 10.630 8.936 1.190 0.219 4.3810 
SH601166 兴业银行 17.240 15.031 1.147 0.206 4.4289 
SH601009 南京银行 17.890 13.792 1.297 0.237 4.4746 
SH600036 招商银行 18.260 14.457 1.263 0.223 4.6104 
SH601328 交通银行 6.460 6.958 0.928 0.132 5.0017 
SH601998 中信银行 7.320 6.526 1.122 0.175 5.0050 
SZ002142 宁波银行 15.770 10.376 1.520 0.240 5.1637 
SH600016 民生银行 9.430 8.261 1.141 0.172 5.2015 
SH601988 中国银行 4.030 4.038 0.998 0.136 5.4132 
SZ000001 平安银行 12.100 11.353 1.066 0.150 5.4189 
SH600015 华夏银行 11.920 10.772 1.107 0.157 5.4561

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.206 6.528 0.644 0.175 1.5708 
HK003328 交通银行 4.575 6.960 0.657 0.132 2.2111 
HK006818 光大银行 3.159 4.328 0.730 0.169 2.4160 
HK003618 重庆农商 3.930 5.058 0.777 0.184 2.6091 
HK000939 建设银行 4.449 5.632 0.790 0.180 2.7661 
HK001988 民生银行 6.435 8.264 0.779 0.172 2.7916 
HK003988 中国银行 2.899 4.039 0.718 0.136 2.8315 
HK001398 工商银行 3.921 4.800 0.817 0.180 2.9712 
HK001288 农业银行 2.656 3.436 0.773 0.158 2.9769 
HK003968 招商银行 15.334 14.463 1.060 0.223 3.7391 
SH601398 工商银行 4.580 4.800 0.954 0.180 3.9108 
SH600000 浦发银行 18.270 15.284 1.195 0.249 3.9163 
SH601818 光大银行 4.240 4.328 0.980 0.169 4.2963 
SH601288 农业银行 3.230 3.436 0.940 0.158 4.3133 
SH601169 北京银行 10.530 8.941 1.178 0.219 4.3305 
SH601939 建设银行 5.780 5.632 1.026 0.180 4.3487 
SH601166 兴业银行 17.070 15.037 1.135 0.206 4.3739 
SH601009 南京银行 17.700 13.799 1.283 0.237 4.4221 
SH600036 招商银行 17.990 14.463 1.244 0.223 4.5340 
SH601998 中信银行 7.220 6.528 1.106 0.175 4.9173 
SH601328 交通银行 6.440 6.960 0.925 0.132 4.9744 
SZ002142 宁波银行 15.510 10.381 1.494 0.240 5.0838 
SH600016 民生银行 9.640 8.264 1.167 0.172 5.3382 
SZ000001 平安银行 11.990 11.357 1.056 0.150 5.3510 
SH601988 中国银行 4.010 4.039 0.993 0.136 5.3717 
SH600015 华夏银行 12.140 10.775 1.127 0.157 5.5798

2016-01-04
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.109 6.539 0.628 0.175 1.4153 
HK003328 交通银行 4.445 6.967 0.638 0.132 1.9688 
HK006818 光大银行 3.092 4.334 0.713 0.169 2.2710 
HK003618 重庆农商 3.840 5.066 0.758 0.184 2.4627 
HK001988 民生银行 6.243 8.275 0.754 0.172 2.5921 
HK000939 建设银行 4.335 5.640 0.769 0.180 2.6011 
HK003988 中国银行 2.831 4.044 0.700 0.136 2.6365 
HK001398 工商银行 3.798 4.808 0.790 0.180 2.7670 
HK001288 农业银行 2.579 3.439 0.750 0.158 2.7698 
HK003968 招商银行 14.788 14.491 1.020 0.223 3.5493 
SH601398 工商银行 4.450 4.808 0.926 0.180 3.7262 
SH600000 浦发银行 17.800 15.321 1.162 0.249 3.7883 
SH601818 光大银行 4.060 4.334 0.937 0.169 4.0110 
SH601169 北京银行 10.020 8.959 1.118 0.219 4.0690 
SH601288 农业银行 3.120 3.439 0.907 0.158 4.0697 
SH601009 南京银行 16.500 13.827 1.193 0.237 4.0831 
SH601939 建设银行 5.600 5.640 0.993 0.180 4.1490 
SH601166 兴业银行 16.430 15.062 1.091 0.206 4.1614 
SH600036 招商银行 17.280 14.491 1.193 0.223 4.3243 
SH601328 交通银行 6.070 6.967 0.871 0.132 4.4875 
SH601998 中信银行 6.760 6.539 1.034 0.175 4.4996 
SZ002142 宁波银行 14.390 10.405 1.383 0.240 4.7253 
SH600016 民生银行 9.030 8.275 1.091 0.172 4.9181 
SZ000001 平安银行 11.330 11.373 0.996 0.150 4.9353 
SH601988 中国银行 3.870 4.044 0.957 0.136 5.0833 
SH600015 华夏银行 11.430 10.787 1.060 0.157 5.1582

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.101 6.541 0.627 0.175 1.4007 
HK003328 交通银行 4.362 6.969 0.626 0.132 1.8141 
HK006818 光大银行 3.115 4.335 0.719 0.169 2.3173 
HK003618 重庆农商 3.831 5.068 0.756 0.184 2.4471 
HK001988 民生银行 6.239 8.277 0.754 0.172 2.5866 
HK000939 建设银行 4.328 5.642 0.767 0.180 2.5884 
HK003988 中国银行 2.821 4.045 0.697 0.136 2.6041 
HK001398 工商银行 3.772 4.810 0.784 0.180 2.7236 
HK001288 农业银行 2.568 3.440 0.747 0.158 2.7381 
HK003968 招商银行 14.331 14.497 0.989 0.223 3.3909 
SH601398 工商银行 4.470 4.810 0.929 0.180 3.7508 
SH601818 光大银行 4.080 4.335 0.941 0.169 4.0404 
SH600000 浦发银行 17.960 15.297 1.174 0.234 4.0643 
SH601169 北京银行 10.080 8.964 1.124 0.219 4.0966 
SH601009 南京银行 16.590 13.834 1.199 0.237 4.1062 
SH601939 建设银行 5.580 5.642 0.989 0.180 4.1253 
SH601288 农业银行 3.160 3.440 0.919 0.158 4.1550 
SH601166 兴业银行 16.660 15.068 1.106 0.206 4.2333 
SH600036 招商银行 17.230 14.497 1.188 0.223 4.3075 
SH601998 中信银行 6.760 6.541 1.033 0.175 4.4971 
SH601328 交通银行 6.160 6.969 0.884 0.132 4.6042 
SZ002142 宁波银行 14.580 10.411 1.400 0.240 4.7836 
SZ000001 平安银行 11.400 11.377 1.002 0.150 4.9769 
SH600016 民生银行 9.120 8.277 1.102 0.172 4.9786 
SH601988 中国银行 3.860 4.045 0.954 0.136 5.0605 
SH600015 华夏银行 11.490 10.790 1.065 0.157 5.1922

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 4.110 6.544 0.628 0.175 1.4120 
HK003328 交通银行 4.372 6.971 0.627 0.132 1.8308 
HK003618 重庆农商 3.738 5.070 0.737 0.184 2.2985 
HK006818 光大银行 3.112 4.337 0.718 0.169 2.3079 
HK001988 民生银行 6.190 8.280 0.748 0.172 2.5344 
HK000939 建设银行 4.321 5.644 0.766 0.180 2.5767 
HK003988 中国银行 2.816 4.047 0.696 0.136 2.5881 
HK001398 工商银行 3.738 4.812 0.777 0.180 2.6653 
HK001288 农业银行 2.562 3.441 0.745 0.158 2.7206 
HK003968 招商银行 14.240 14.504 0.982 0.223 3.3569 
SH601398 工商银行 4.510 4.812 0.937 0.180 3.8021 
SH600000 浦发银行 18.100 15.306 1.183 0.234 4.0985 
SH601818 光大银行 4.130 4.337 0.952 0.169 4.1162 
SH601009 南京银行 16.770 13.841 1.212 0.237 4.1545 
SH601939 建设银行 5.640 5.644 0.999 0.180 4.1879 
SH601169 北京银行 10.280 8.969 1.146 0.219 4.1932 
SH601288 农业银行 3.180 3.441 0.924 0.158 4.1964 
SH601166 兴业银行 16.750 15.074 1.111 0.206 4.2599 
SH600036 招商银行 17.310 14.504 1.193 0.223 4.3282 
SH601998 中信银行 6.840 6.544 1.045 0.175 4.5675 
SH601328 交通银行 6.210 6.971 0.891 0.132 4.6674 
SZ002142 宁波银行 14.900 10.417 1.430 0.240 4.8818 
SH600016 民生银行 9.150 8.280 1.105 0.172 4.9972 
SZ000001 平安银行 11.530 11.381 1.013 0.150 5.0555 
SH601988 中国银行 3.890 4.047 0.961 0.136 5.1187 
SH600015 华夏银行 11.510 10.793 1.066 0.157 5.2022 

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.957 6.546 0.605 0.175 1.1757 
HK003328 交通银行 4.211 6.973 0.604 0.132 1.5260 
HK006818 光大银行 2.977 4.338 0.686 0.169 2.0219 
HK003618 重庆农商 3.653 5.072 0.720 0.184 2.1607 
HK001988 民生银行 5.961 8.283 0.720 0.172 2.2956 
HK003988 中国银行 2.723 4.048 0.673 0.136 2.3225 
HK000939 建设银行 4.228 5.646 0.749 0.180 2.4430 
HK001398 工商银行 3.628 4.814 0.754 0.180 2.4820 
HK001288 农业银行 2.495 3.442 0.725 0.158 2.5361 
HK003968 招商银行 13.445 14.511 0.927 0.223 3.0688 
SH601398 工商银行 4.430 4.814 0.920 0.180 3.6912 
SH601009 南京银行 15.580 13.848 1.125 0.237 3.8067 
SH601818 光大银行 3.960 4.338 0.913 0.169 3.8456 
SH600000 浦发银行 17.630 15.315 1.151 0.234 3.9704 
SH601169 北京银行 9.850 8.973 1.098 0.219 3.9746 
SH601288 农业银行 3.100 3.442 0.901 0.158 4.0207 
SH601939 建设银行 5.520 5.646 0.978 0.180 4.0557 
SH601166 兴业银行 16.250 15.080 1.078 0.206 4.0961 
SH601998 中信银行 6.380 6.546 0.975 0.175 4.1338 
SH600036 招商银行 16.700 14.511 1.151 0.223 4.1474 
SH601328 交通银行 5.920 6.973 0.849 0.132 4.2787 
SZ002142 宁波银行 13.880 10.422 1.332 0.240 4.5498 
SH600016 民生银行 8.550 8.283 1.032 0.172 4.5678 
SZ000001 平安银行 10.910 11.385 0.958 0.150 4.6572 
SH600015 华夏银行 10.740 10.796 0.995 0.157 4.7248 
SH601988 中国银行 3.750 4.048 0.926 0.136 4.8291

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.968 6.549 0.606 0.175 1.1892 
HK003328 交通银行 4.282 6.975 0.614 0.132 1.6587 
HK003618 重庆农商 3.594 5.073 0.708 0.184 2.0618 
HK006818 光大银行 3.025 4.339 0.697 0.169 2.1222 
HK003988 中国银行 2.753 4.049 0.680 0.136 2.4055 
HK001988 民生银行 6.100 8.285 0.736 0.172 2.4384 
HK000939 建设银行 4.290 5.648 0.760 0.180 2.5297 
HK001398 工商银行 3.704 4.816 0.769 0.180 2.6060 
HK001288 农业银行 2.532 3.443 0.735 0.158 2.6357 
HK003968 招商银行 13.696 14.518 0.943 0.223 3.1584 
SH601398 工商银行 4.460 4.816 0.926 0.180 3.7295 
SH600000 浦发银行 17.490 15.324 1.141 0.234 3.9297 
SH601818 光大银行 4.030 4.339 0.929 0.169 3.9555 
SH601009 南京银行 16.180 13.855 1.168 0.237 3.9817 
SH601939 建设银行 5.540 5.648 0.981 0.180 4.0755 
SH601288 农业银行 3.160 3.443 0.918 0.158 4.1499 
SH601166 兴业银行 16.440 15.087 1.090 0.206 4.1559 
SH601169 北京银行 10.240 8.978 1.141 0.219 4.1683 
SH600036 招商银行 16.810 14.518 1.158 0.223 4.1777 
SH601998 中信银行 6.530 6.549 0.997 0.175 4.2753 
SH601328 交通银行 6.030 6.975 0.865 0.132 4.4253 
SZ002142 宁波银行 14.160 10.428 1.358 0.240 4.6400 
SH600016 民生银行 8.700 8.285 1.050 0.172 4.6754 
SH600015 华夏银行 10.830 10.799 1.003 0.157 4.7801 
SZ000001 平安银行 11.120 11.390 0.976 0.150 4.7911 
SH601988 中国银行 3.800 4.049 0.938 0.136 4.9303

2016-01-11
代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.896 6.563 0.594 0.175 1.0628 
HK003328 交通银行 4.176 6.992 0.597 0.132 1.4354 
HK003618 重庆农商 3.420 5.088 0.672 0.184 1.7522 
HK006818 光大银行 2.920 4.353 0.671 0.169 1.8756 
HK003988 中国银行 2.648 4.054 0.653 0.136 2.0928 
HK001988 民生银行 5.856 8.318 0.704 0.172 2.1564 
HK000939 建设银行 4.176 5.664 0.737 0.180 2.3479 
HK001288 农业银行 2.453 3.455 0.710 0.158 2.3954 
HK001398 工商银行 3.582 4.821 0.743 0.180 2.3955 
HK003968 招商银行 13.240 14.563 0.909 0.223 2.9743 
SH601398 工商银行 4.320 4.821 0.896 0.180 3.5299 
SH601818 光大银行 3.860 4.354 0.887 0.169 3.6583 
SH601009 南京银行 15.410 13.890 1.109 0.237 3.7409 
SH601939 建设银行 5.300 5.664 0.936 0.180 3.7900 
SH600000 浦发银行 17.050 15.341 1.111 0.234 3.8030 
SH601166 兴业银行 15.800 15.142 1.043 0.206 3.9246 
SH600036 招商银行 16.040 14.563 1.101 0.223 3.9289 
SH601288 农业银行 3.090 3.455 0.894 0.158 3.9733 
SH601328 交通银行 5.800 6.992 0.829 0.132 4.0909 
SH601169 北京银行 10.120 8.989 1.126 0.219 4.1024 
SH601998 中信银行 6.500 6.563 0.990 0.175 4.2339 
SZ002142 宁波银行 13.380 10.447 1.281 0.240 4.3687 
SH600015 华夏银行 10.340 10.819 0.956 0.157 4.4493 
SH600016 民生银行 8.460 8.318 1.017 0.172 4.4744 
SZ000001 平安银行 10.760 11.406 0.943 0.150 4.5455 
SH601988 中国银行 3.650 4.054 0.900 0.136 4.6061

代码 股票名称 价格 今日净资产 市净率2 收益7 翻倍7
HK000998 中信银行 3.894 6.563 0.5934 0.175 1.0606 
HK003328 交通银行 4.166 6.992 0.5958 0.132 1.4161 
